1,Anguished Unmaking
1,Baleful Strix
1,Dispatch
1,Fellwar Stone
1,Fetid Pools
1,Midnight Clock
1,Etherium Sculptor
1,Liquimetal Torque
1,Deserted Beach
1,Shipwreck Marsh
1,Vault of Champions
1,Arcane Signet
1,"Tezzeret, Master of the Bridge"
1,Mirrodin Besieged
3,Island
1,Irrigated Farmland
1,The Reality Chip
1,Marionette Master
1,Thought Monitor
1,Master Transmuter
1,Mind Stone
1,Buried Ruin
1,"Losheel, Clockwork Scholar"
1,Morphic Pool
1,Myr Retriever
1,Reliquary Tower
1,"Silas Renn, Seeker Adept"
2,Plains
1,Shattered Sanctum
1,Ornithopter of Paradise
1,Skullclamp
1,Sea of Clouds
1,Seat of the Synod
1,Thoughtcast
1,"Sai, Master Thopterist"
1,Phyrexian Scriptures
1,Chromatic Lantern
1,Sunken Hollow
1,"Padeem, Consul of Innovation"
1,Sword of the Meek
1,Talisman of Dominance
1,Talisman of Progress
1,Swords to Plowshares
1,Thopter Foundry
1,Thought Vessel
3,Swamp
1,Unwinding Clock
1,Vault of Whispers
1,Thopter Spy Network
1,Wurmcoil Engine
1,Dovin's Veto
1,Whir of Invention
1,Sol Ring
1,Arcane Sanctum
1,Oswald Fiddlebender
1,"Rebbec, Architect of Ascension"
1,Bronze Guardian
1,Solemn Simulacrum
1,Command Tower
1,Nihil Spellbomb
1,Thirst for Knowledge
1,Myr Battlesphere
1,"Sydri, Galvanic Genius"
1,Blightsteel Colossus
1,"Emry, Lurker of the Loch"
1,Inventors' Fair
1,Scrap Trawler
1,Talisman of Hierarchy
1,Ancient Den
1,Ethersworn Canonist
1,Sculpting Steel
1,Sharuum the Hegemon
1,Academy Ruins
1,Brilliant Restoration
1,Shimmer Myr
1,Bolas's Citadel
1,Tezzeret the Seeker
1,Digsite Engineer
1,Cyberdrive Awakener
1,Organic Extinction
1,Imposter Mech
1,Research Thief
1,Phyrexian Metamorph
1,Mistvault Bridge
1,Caves of Koilos
1,Vexing Puzzlebox
1,Artificer Class
1,Agent of the Iron Throne
1,Darksteel Citadel
1,Razortide Bridge
1,Goldmire Bridge
1,Negate
1,Spire of Industry
1,Glimmervoid
1,Exotic Orchard
