1,Torment of Hailfire
1,Lifeblood Hydra
1,"Nissa, Steward of Elements"
1,Cyclonic Rift
1,Heroic Intervention
1,Burgeoning
1,Wildest Dreams
1,Zendikar Resurgent
1,Sunken Hollow
1,Black Sun's Zenith
1,Llanowar Wastes
1,Yavimaya Coast
1,Dictate of Karametra
1,"Kruphix, God of Horizons"
1,Blue Sun's Zenith
1,Mistcutter Hydra
1,"Nykthos, Shrine to Nyx"
1,Eternal Witness
1,Breeding Pool
1,Watery Grave
1,Overgrown Tomb
1,Diabolic Revelation
1,Primordial Hydra
1,Reliquary Tower
1,Alchemist's Refuge
1,Cavern of Souls
1,Sol Ring
1,Command Tower
1,Beast Within
1,Exsanguinate
1,Cultivate
1,Protean Hydra
1,Helix Pinnacle
1,Mana Reflection
1,Rites of Flourishing
1,Doubling Season
1,Heartbeat of Spring
1,Doubling Cube
1,Explosive Vegetation
1,Rampant Growth
1,Skyshroud Claim
1,Astral Cornucopia
1,Morphic Pool
1,Circuitous Route
1,Simic Ascendancy
1,Hydroid Krasis
1,Mass Manipulation
1,Karn's Bastion
1,"Nissa, Who Shakes the World"
1,Blast Zone
1,Finale of Revelation
17,Snow-Covered Forest
2,Snow-Covered Swamp
2,Snow-Covered Island
1,Unbound Flourishing
1,Voracious Hydra
1,"Gargos, Vicious Watcher"
1,Hooded Hydra
1,Biomass Mutation
1,Beanstalk Giant // Fertile Footsteps
1,Steelbane Hydra
1,Stonecoil Serpent
1,Castle Garenbrig
1,Nyxbloom Ancient
1,Arcane Signet
1,"Zaxara, the Exemplary"
1,Villainous Wealth
1,Manascape Refractor
1,Capricopian
1,Animist's Awakening
1,The Ozolith
1,Putrefy
1,Gaze of Granite
1,Wilderness Reclamation
1,Vastwood Hydra
1,Sakura-Tribe Elder
1,Kodama's Reach
1,Krosan Grip
1,Hungering Hydra
1,Genesis Hydra
1,Profane Command
1,Zagoth Triome
